0,Author,DOI,Journal Title,Publication Date,Title,Academic Department Description,Course Code,Course Instructor Primary Identifier,Course Status,Course Year,Searchable ID 1,Citation Type,Reading List Code,Reading List Name
0,"Maguire, Eleanor A ; Nannery, Rory ; Spiers, Hugo J",10.1093/brain/awl286,"Brain (London, England : 1878)",2006-11,Navigation around London by a taxi driver with bilateral hippocampal lesions,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Maguire, Eleanor A ; Nannery, Rory ; Spiers, Hugo J",10.1093/brain/awl286,"Brain (London, England : 1878)",2006-11,Navigation around London by a taxi driver with bilateral hippocampal lesions,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Cook, Jonathan",10.1108/OIR-02-2016-0044,Online information review,2016,Networked spectators: Social media conversation and moderation at the Olympic opening ceremony,School of Civil Engineering,31432_CIVE1560,00904333; 00955613,Inactive,,,Physical Article,0.9712380487306655,Test Reading List
0,"Cook, Jonathan",10.1108/OIR-02-2016-0044,Online information review,2016,Networked spectators: Social media conversation and moderation at the Olympic opening ceremony,School of Psychology,34308_PSYC5902M,00977697,Inactive,,,Physical Article,0.9712380487306655,Test Reading List
0,"Field, David T ; Wilkie, Richard M ; Wann, John P",10.1523/JNEUROSCI.2130-07.2007,The Journal of neuroscience,2007-07-25,Neural Systems in the Visual Control of Steering,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Field, David T ; Wilkie, Richard M ; Wann, John P",10.1523/JNEUROSCI.2130-07.2007,The Journal of neuroscience,2007-07-25,Neural Systems in the Visual Control of Steering,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Spiers, Hugo J ; Maguire, Eleanor A",10.1016/j.neuroimage.2007.02.032,"NeuroImage (Orlando, Fla.)",2007-05-15,Neural substrates of driving behaviour,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Spiers, Hugo J ; Maguire, Eleanor A",10.1016/j.neuroimage.2007.02.032,"NeuroImage (Orlando, Fla.)",2007-05-15,Neural substrates of driving behaviour,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Mishkin, Mortimer ; Ungerleider, Leslie G ; Macko, Kathleen A",10.1016/0166-2236(83)90190-X,Trends in Neurosciences,1983,Object vision and spatial vision: two cortical pathways,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Mishkin, Mortimer ; Ungerleider, Leslie G ; Macko, Kathleen A",10.1016/0166-2236(83)90190-X,Trends in Neurosciences,1983,Object vision and spatial vision: two cortical pathways,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Girotti, Floriano ; Casazza, Marina ; Musicco, Massimo ; Avanzini, Giuliano",10.1016/0028-3932(83)90010-6,Neuropsychologia,1983,Oculomotor disorders in cortical lesions in man: The role of unilateral neglect,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Girotti, Floriano ; Casazza, Marina ; Musicco, Massimo ; Avanzini, Giuliano",10.1016/0028-3932(83)90010-6,Neuropsychologia,1983,Oculomotor disorders in cortical lesions in man: The role of unilateral neglect,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Zihl, Josef ; Sämann, Philipp ; Schenk, Thomas ; Schuett, Susanne ; Dauner, Ruth",10.1016/j.neuropsychologia.2009.04.009,Neuropsychologia,2009,On the origin of line bisection error in hemianopia,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Zihl, Josef ; Sämann, Philipp ; Schenk, Thomas ; Schuett, Susanne ; Dauner, Ruth",10.1016/j.neuropsychologia.2009.04.009,Neuropsychologia,2009,On the origin of line bisection error in hemianopia,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Warren, Mary",10.5014/ajot.63.5.626,The American journal of occupational therapy,2009,Pilot study on activities of daily living limitations in adults with hemianopsia,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Warren, Mary",10.5014/ajot.63.5.626,The American journal of occupational therapy,2009,Pilot study on activities of daily living limitations in adults with hemianopsia,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Wolpert, Daniel M",10.1016/j.humov.2007.05.005,Human movement science,2007,Probabilistic models in human sensorimotor control,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Wolpert, Daniel M",10.1016/j.humov.2007.05.005,Human movement science,2007,Probabilistic models in human sensorimotor control,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Habib, Michel ; Sirigu, Angela",10.1016/S0010-9452(87)80020-5,Cortex,1987-03,Pure Topographical Disorientation: A Definition and Anatomical Basis,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Habib M, Sirigu A",https://doi.org/10.1016/S0010-9452(87)80020-5,Cortex,1987,Pure topographical disorientation: a definition and anatomical basis.,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Raw, Rachael K ; Wilkie, Richard M ; Culmer, Peter R ; Mon-Williams, Mark",10.1007/s00221-011-2971-x,Experimental brain research,2011-12-09,Reduced motor asymmetry in older adults when manually tracing paths,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Raw, Rachael K ; Wilkie, Richard M ; Culmer, Peter R ; Mon-Williams, Mark",10.1007/s00221-011-2971-x,Experimental brain research,2011-12-09,Reduced motor asymmetry in older adults when manually tracing paths,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Pambakian, A L M ; Wooding, D S ; Patel, N ; Morland, A B ; Kennard, C ; Mannan, S K",10.1136/jnnp.69.6.751,"Journal of neurology, neurosurgery and psychiatry",2000-12,Scanning the visual world: a study of patients with homonymous hemianopia,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
0,"Pambakian, A L M ; Wooding, D S ; Patel, N ; Morland, A B ; Kennard, C ; Mannan, S K",10.1136/jnnp.69.6.751,"Journal of neurology, neurosurgery and psychiatry",2000-12,Scanning the visual world: a study of patients with homonymous hemianopia,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__9390772_1,PSYC3505: Module Reading List
0,"Andersen, Richard A ; Snyder, Lawrence H ; Grieve, Kenneth L ; Brotchie, Peter",10.1038/29777,Nature (London),1998-08-27,Separate body- and world-referenced representations of visual space in parietal cortex,School of Psychology,25874_PSYC3505,,Inactive,,,Physical Article,202122_PSYC3505__8994937_1,PSYC3505: Module Reading List
